Contract Name 	Last Trade Date (EDT) 	Strike 	Last Price 	Bid 	Ask 	Change 	% Change 	Volume 	Open Interest 	Implied Volatility
SPY250912P00645000 	8/26/2025 4:14 PM 	645 	5.33 	5.30 	5.34 	-1.37 	-20.45% 	523 	2,374 	9.49%
SPY250912P00646000 	8/26/2025 4:09 PM 	646 	5.78 	5.68 	5.71 	-1.35 	-18.93% 	295 	681 	9.23%
SPY250912P00647000 	8/26/2025 3:59 PM 	647 	6.37 	6.08 	6.11 	-1.18 	-15.63% 	538 	383 	8.98%
SPY250912P00648000 	8/26/2025 4:14 PM 	648 	6.54 	6.51 	6.55 	-1.88 	-22.33% 	32 	481 	8.74%
SPY250912P00649000 	8/26/2025 3:47 PM 	649 	7.99 	6.98 	7.02 	-0.36 	-4.31% 	42 	618 	8.48%
SPY250912P00650000 	8/26/2025 4:07 PM 	650 	7.58 	7.32 	7.60 	-1.82 	-19.36% 	51 	1,027 	8.37%
SPY250912P00651000 	8/26/2025 3:21 PM 	651 	8.92 	7.40 	8.18 	-0.23 	-2.51% 	34 	76 	8.18%
SPY250912P00652000 	8/26/2025 2:42 PM 	652 	9.92 	8.17 	8.94 	-0.08 	-0.80% 	5 	351 	8.29%
SPY250912P00653000 	8/26/2025 2:19 PM 	653 	10.10 	8.72 	9.58 	0.10 	1.00% 	5 	205 	8.08%
SPY250912P00654000 	8/25/2025 3:16 PM 	654 	11.37 	9.32 	10.28 	0.00 	0.00% 	9 	19 	7.93%
SPY250912P00655000 	8/26/2025 9:30 AM 	655 	13.46 	9.98 	11.00 	0.66 	5.16% 	2 	221 	7.74%
SPY250912P00656000 	8/25/2025 11:04 AM 	656 	12.37 	10.64 	11.82 	0.00 	0.00% 	2 	9 	7.73%
SPY250912P00657000 	8/22/2025 10:56 AM 	657 	12.25 	11.13 	12.87 	0.00 	0.00% 	5 	12 	8.32%
SPY250912P00658000 	8/22/2025 11:51 AM 	658 	13.38 	12.11 	13.49 	0.00 	0.00% 	4 	3 	7.58%
SPY250912P00659000 	8/21/2025 3:49 PM 	659 	23.55 	12.42 	14.97 	0.00 	0.00% 	- 	10 	9.50%
SPY250912P00660000 	8/25/2025 1:36 PM 	660 	15.60 	13.18 	15.93 	0.02 	0.13% 	2 	32 	9.82%
SPY250912P00664000 	8/25/2025 9:33 AM 	664 	20.40 	17.06 	19.70 	0.00 	0.00% 	1 	0 	10.74%
SPY250912P00665000 	8/25/2025 9:45 AM 	665 	21.07 	18.04 	20.69 	0.00 	0.00% 	1 	1 	11.10%
SPY250912P00670000 	8/19/2025 12:37 PM 	670 	30.18 	23.75 	25.69 	0.00 	0.00% 	18 	0 	13.02%
SPY250912P00675000 	8/15/2025 9:51 AM 	675 	30.78 	28.04 	30.73 	0.00 	0.00% 	- 	0 	15.04%
SPY250912P00680000 	8/12/2025 1:30 PM 	680 	38.07 	33.04 	35.73 	0.00 	0.00% 	- 	0 	16.83%
SPY250912P00695000 	8/26/2025 2:31 PM 	695 	51.41 	48.04 	50.73 	0.60 	1.18% 	5 	0 	21.91%
SPY250912P00700000 	8/13/2025 12:28 PM 	700 	56.51 	53.04 	55.73 	0.00 	0.00% 	1 	0 	23.52%
SPY250912P00715000 	8/14/2025 11:19 AM 	715 	70.51 	68.04 	70.73 	0.00 	0.00% 	- 	0 	28.19%
SPY250912P00745000 	8/15/2025 3:49 PM 	745 	101.06 	98.04 	100.73 	0.00 	0.00% 	- 	0 	36.82%
SPY250912P00750000 	8/18/2025 10:47 AM 	750 	107.58 	103.04 	105.73 	0.00 	0.00% 	7 	0 	38.18%
