Contract Name 	Last Trade Date (EDT) 	Strike 	Last Price 	Bid 	Ask 	Change 	% Change 	Volume 	Open Interest 	Implied Volatility
SPY250912C00575000 	8/22/2025 1:47 PM 	575 	73.29 	72.28 	72.43 	0.00 	0.00% 	2 	5 	39.06%
SPY250912C00580000 	8/26/2025 4:02 PM 	580 	66.96 	67.32 	67.47 	1.96 	3.02% 	13 	88 	37.00%
SPY250912C00585000 	8/26/2025 2:00 PM 	585 	59.63 	62.37 	62.51 	-1.64 	-2.68% 	1 	52 	34.92%
SPY250912C00590000 	8/26/2025 10:04 AM 	590 	54.70 	57.42 	57.56 	-1.68 	-2.98% 	3 	52 	32.86%
SPY250912C00595000 	8/26/2025 11:17 AM 	595 	49.32 	52.48 	52.62 	-3.02 	-5.77% 	1 	67 	30.79%
SPY250912C00600000 	8/26/2025 3:21 PM 	600 	46.34 	47.57 	47.71 	0.26 	0.56% 	7 	372 	28.80%
SPY250912C00605000 	8/26/2025 1:55 PM 	605 	39.74 	42.68 	42.81 	-2.78 	-6.54% 	4 	236 	26.78%
SPY250912C00608000 	8/26/2025 10:46 AM 	608 	37.00 	39.76 	39.90 	-1.91 	-4.91% 	5 	42 	25.63%
SPY250912C00609000 	8/25/2025 1:45 PM 	609 	37.81 	38.79 	38.93 	0.00 	0.00% 	1 	5 	25.24%
SPY250912C00610000 	8/26/2025 1:39 PM 	610 	35.50 	37.83 	37.96 	-1.77 	-4.75% 	3 	81 	24.84%
SPY250912C00611000 	8/20/2025 4:02 PM 	611 	30.95 	36.86 	37.00 	0.00 	0.00% 	5 	20 	24.48%
SPY250912C00612000 	8/22/2025 10:57 AM 	612 	32.92 	35.90 	36.03 	-3.80 	-10.35% 	1 	6 	24.07%
SPY250912C00613000 	8/26/2025 2:53 PM 	613 	33.02 	34.94 	35.07 	-2.37 	-6.70% 	1 	20 	23.69%
SPY250912C00614000 	8/25/2025 2:30 PM 	614 	32.63 	33.99 	34.12 	0.00 	0.00% 	2 	13 	23.34%
SPY250912C00615000 	8/26/2025 3:56 PM 	615 	32.70 	33.03 	33.16 	0.65 	2.03% 	1 	219 	22.95%
SPY250912C00616000 	8/25/2025 10:22 AM 	616 	30.71 	32.08 	32.21 	0.00 	0.00% 	1 	57 	22.58%
SPY250912C00617000 	8/26/2025 2:53 PM 	617 	29.24 	31.14 	31.26 	-2.50 	-7.88% 	1 	12 	22.21%
SPY250912C00618000 	8/25/2025 2:22 PM 	618 	28.72 	30.19 	30.32 	0.00 	0.00% 	4 	146 	21.86%
SPY250912C00619000 	8/22/2025 1:23 PM 	619 	30.19 	29.25 	29.37 	0.00 	0.00% 	1 	70 	21.47%
SPY250912C00620000 	8/26/2025 4:07 PM 	620 	28.23 	28.30 	28.44 	1.77 	6.69% 	2,021 	177 	21.13%
SPY250912C00621000 	8/26/2025 12:28 PM 	621 	25.29 	27.38 	27.50 	-0.35 	-1.37% 	18 	199 	20.76%
SPY250912C00622000 	8/26/2025 10:39 AM 	622 	23.99 	26.44 	26.57 	-1.04 	-4.16% 	1 	133 	20.40%
SPY250912C00623000 	8/25/2025 1:30 PM 	623 	22.49 	25.53 	25.65 	-2.21 	-8.95% 	1 	51 	20.06%
SPY250912C00624000 	8/25/2025 10:36 AM 	624 	23.46 	24.61 	24.73 	0.00 	0.00% 	2 	59 	19.71%
SPY250912C00625000 	8/26/2025 3:25 PM 	625 	22.66 	23.70 	23.81 	0.56 	2.53% 	2 	359 	19.35%
SPY250912C00626000 	8/26/2025 11:23 AM 	626 	20.37 	22.79 	22.90 	0.03 	0.15% 	3 	132 	19.00%
SPY250912C00627000 	8/26/2025 1:21 PM 	627 	19.84 	21.89 	22.00 	-1.04 	-4.98% 	2 	409 	18.67%
SPY250912C00628000 	8/26/2025 2:10 PM 	628 	19.00 	20.99 	21.10 	-1.55 	-7.54% 	13 	320 	18.32%
SPY250912C00629000 	8/25/2025 11:32 AM 	629 	19.55 	20.10 	20.21 	0.00 	0.00% 	3 	209 	17.98%
SPY250912C00630000 	8/26/2025 1:59 PM 	630 	17.03 	19.22 	19.32 	-1.03 	-5.70% 	17 	504 	17.63%
SPY250912C00631000 	8/26/2025 12:00 PM 	631 	16.00 	18.34 	18.44 	-2.24 	-12.28% 	4 	355 	17.28%
SPY250912C00632000 	8/26/2025 4:00 PM 	632 	17.17 	17.48 	17.57 	0.19 	1.12% 	4 	317 	16.94%
SPY250912C00633000 	8/26/2025 2:42 PM 	633 	15.16 	16.62 	16.71 	-0.01 	-0.07% 	2 	175 	16.61%
SPY250912C00634000 	8/26/2025 2:43 PM 	634 	14.39 	15.77 	15.86 	-0.73 	-4.83% 	2 	410 	16.28%
SPY250912C00635000 	8/26/2025 4:08 PM 	635 	15.00 	14.94 	15.02 	1.93 	14.77% 	39 	2,245 	15.95%
SPY250912C00636000 	8/26/2025 4:07 PM 	636 	14.08 	14.11 	14.20 	1.05 	8.06% 	14 	659 	15.64%
SPY250912C00637000 	8/26/2025 3:56 PM 	637 	13.13 	13.30 	13.38 	1.19 	9.97% 	17 	1,074 	15.31%
SPY250912C00638000 	8/26/2025 3:16 PM 	638 	11.37 	12.51 	12.58 	0.37 	3.36% 	12 	598 	15.00%
SPY250912C00639000 	8/26/2025 3:21 PM 	639 	11.61 	11.72 	11.79 	1.55 	15.41% 	34 	595 	14.68%
SPY250912C00640000 	8/26/2025 3:49 PM 	640 	10.13 	10.96 	11.02 	0.81 	8.69% 	347 	9,622 	14.37%
SPY250912C00641000 	8/26/2025 4:07 PM 	641 	10.20 	10.21 	10.27 	1.60 	18.60% 	140 	806 	14.07%
SPY250912C00642000 	8/26/2025 3:53 PM 	642 	9.39 	9.48 	9.53 	1.42 	17.82% 	383 	699 	13.76%
SPY250912C00643000 	8/26/2025 4:13 PM 	643 	8.79 	8.78 	8.82 	1.41 	19.11% 	884 	1,380 	13.48%
SPY250912C00644000 	8/26/2025 4:13 PM 	644 	8.14 	8.09 	8.13 	1.41 	20.95% 	532 	1,835 	13.19%
SPY250912C00645000 	8/26/2025 4:14 PM 	645 	7.49 	7.43 	7.47 	1.37 	22.39% 	3,187 	4,795 	12.93%
SPY250912C00646000 	8/26/2025 4:14 PM 	646 	6.84 	6.79 	6.83 	1.26 	22.58% 	144 	1,449 	12.66%
SPY250912C00647000 	8/26/2025 4:11 PM 	647 	6.20 	6.18 	6.22 	1.32 	27.05% 	363 	1,748 	12.41%
SPY250912C00648000 	8/26/2025 4:07 PM 	648 	5.61 	5.61 	5.64 	1.07 	23.57% 	132 	833 	12.16%
SPY250912C00649000 	8/26/2025 4:13 PM 	649 	5.10 	5.06 	5.09 	1.01 	24.69% 	452 	1,091 	11.93%
SPY250912C00650000 	8/26/2025 4:14 PM 	650 	4.57 	4.54 	4.57 	0.97 	26.94% 	1,084 	2,833 	11.70%
SPY250912C00651000 	8/26/2025 4:14 PM 	651 	4.09 	4.05 	4.08 	0.71 	21.01% 	350 	1,551 	11.48%
SPY250912C00652000 	8/26/2025 4:14 PM 	652 	3.62 	3.60 	3.63 	0.78 	27.46% 	392 	520 	11.28%
SPY250912C00653000 	8/26/2025 3:58 PM 	653 	3.11 	3.18 	3.21 	0.46 	17.36% 	245 	282 	11.09%
SPY250912C00654000 	8/26/2025 3:46 PM 	654 	2.42 	2.80 	2.82 	0.25 	11.52% 	224 	549 	10.90%
SPY250912C00655000 	8/26/2025 4:09 PM 	655 	2.48 	2.45 	2.47 	0.61 	32.62% 	466 	4,217 	10.74%
SPY250912C00656000 	8/26/2025 2:30 PM 	656 	1.95 	2.13 	2.15 	0.31 	18.90% 	83 	1,238 	10.58%
SPY250912C00657000 	8/26/2025 4:08 PM 	657 	1.87 	1.84 	1.86 	0.51 	37.50% 	192 	556 	10.43%
SPY250912C00658000 	8/26/2025 4:08 PM 	658 	1.62 	1.58 	1.60 	0.42 	35.00% 	121 	714 	10.29%
SPY250912C00659000 	8/26/2025 4:13 PM 	659 	1.36 	1.35 	1.36 	0.34 	33.33% 	234 	681 	10.13%
SPY250912C00660000 	8/26/2025 4:13 PM 	660 	1.15 	1.14 	1.16 	0.28 	32.18% 	651 	5,267 	10.02%
SPY250912C00661000 	8/26/2025 3:14 PM 	661 	0.86 	0.97 	0.98 	0.08 	10.26% 	140 	231 	9.90%
SPY250912C00662000 	8/26/2025 3:58 PM 	662 	0.82 	0.81 	0.83 	0.16 	24.24% 	105 	784 	9.82%
SPY250912C00663000 	8/26/2025 3:50 PM 	663 	0.59 	0.68 	0.69 	-0.02 	-3.28% 	36 	156 	9.71%
SPY250912C00664000 	8/26/2025 3:58 PM 	664 	0.58 	0.56 	0.58 	0.14 	31.82% 	56 	734 	9.64%
SPY250912C00665000 	8/26/2025 3:57 PM 	665 	0.48 	0.47 	0.48 	0.13 	37.14% 	86 	4,668 	9.56%
SPY250912C00666000 	8/26/2025 4:11 PM 	666 	0.39 	0.39 	0.40 	0.09 	30.00% 	138 	252 	9.50%
SPY250912C00667000 	8/26/2025 4:00 PM 	667 	0.31 	0.32 	0.33 	0.03 	10.71% 	665 	368 	9.45%
SPY250912C00668000 	8/26/2025 4:10 PM 	668 	0.27 	0.26 	0.27 	-0.05 	-15.62% 	393 	147 	9.39%
SPY250912C00669000 	8/26/2025 4:08 PM 	669 	0.23 	0.22 	0.23 	0.00 	0.00% 	4 	115 	9.41%
SPY250912C00670000 	8/26/2025 4:11 PM 	670 	0.18 	0.18 	0.19 	0.03 	20.00% 	251 	4,527 	9.39%
SPY250912C00675000 	8/26/2025 3:57 PM 	675 	0.10 	0.08 	0.09 	0.02 	25.00% 	37 	7,685 	9.67%
SPY250912C00680000 	8/26/2025 4:12 PM 	680 	0.05 	0.04 	0.05 	0.00 	0.00% 	17 	1,755 	10.16%
SPY250912C00685000 	8/26/2025 1:12 PM 	685 	0.03 	0.03 	0.04 	0.00 	0.00% 	6 	2,192 	11.08%
SPY250912C00690000 	8/26/2025 1:51 PM 	690 	0.02 	0.02 	0.03 	-0.01 	-33.33% 	22 	1,005 	11.82%
SPY250912C00695000 	8/25/2025 10:23 AM 	695 	0.03 	0.02 	0.03 	0.00 	0.00% 	1 	80 	12.99%
SPY250912C00700000 	8/26/2025 4:07 PM 	700 	0.01 	0.01 	0.02 	-0.01 	-50.00% 	3 	819 	13.48%
SPY250912C00705000 	8/20/2025 1:25 PM 	705 	0.02 	0.01 	0.02 	0.00 	0.00% 	9 	44 	14.55%
SPY250912C00710000 	8/12/2025 1:52 PM 	710 	0.04 	0.01 	0.02 	0.00 	0.00% 	- 	1 	15.63%
SPY250912C00715000 	8/26/2025 1:51 PM 	715 	0.02 	0.00 	0.01 	0.01 	100.00% 	2 	248 	15.63%
SPY250912C00720000 	8/25/2025 12:41 PM 	720 	0.01 	0.00 	0.01 	0.00 	0.00% 	5 	65 	16.41%
SPY250912C00725000 	8/25/2025 3:02 PM 	725 	0.01 	0.00 	0.01 	0.00 	0.00% 	1 	205 	17.58%
SPY250912C00730000 	8/25/2025 10:45 AM 	730 	0.01 	0.00 	0.01 	0.00 	0.00% 	1 	252 	18.36%
SPY250912C00740000 	8/13/2025 9:30 AM 	740 	0.01 	0.00 	0.01 	0.00 	0.00% 	100 	201 	20.31%
SPY250912C00745000 	8/20/2025 2:32 PM 	745 	0.01 	0.00 	0.01 	0.00 	0.00% 	1 	228 	21.09%
SPY250912C00750000 	8/20/2025 9:42 AM 	750 	0.02 	0.00 	0.01 	0.00 	0.00% 	2 	523 	21.88%
