,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,Type,Expiration_Date
16,SPY250826C00614000,2025-08-26 15:28:18+00:00,614.0,30.09,30.27,32.98,0.5300007,1.7929658,2.0,6.0,0.5942423388671876,True,REGULAR,USD,c,2025-08-26
17,SPY250826C00615000,2025-08-26 19:20:49+00:00,615.0,29.06,29.27,31.96,0.35000038,1.2190888,50.0,59.0,0.57617611328125,True,REGULAR,USD,c,2025-08-26
18,SPY250826C00616000,2025-08-26 15:27:18+00:00,616.0,26.69,28.27,30.96,-0.39999962,-1.4765582,1.0,8.0,0.56055126953125,True,REGULAR,USD,c,2025-08-26
19,SPY250826C00617000,2025-08-26 16:15:47+00:00,617.0,26.32,27.27,29.96,-2.3400002,-8.16469,11.0,1.0,0.5449264257812501,True,REGULAR,USD,c,2025-08-26
20,SPY250826C00618000,2025-08-26 19:58:00+00:00,618.0,27.39,26.27,28.96,-0.9300003,-3.2838993,53.0,12.0,0.5293015820312501,True,REGULAR,USD,c,2025-08-26
21,SPY250826C00619000,2025-08-26 17:33:56+00:00,619.0,25.86,25.27,27.96,0.63000107,2.4970317,12.0,24.0,0.5136767382812499,True,REGULAR,USD,c,2025-08-26
22,SPY250826C00620000,2025-08-26 19:56:56+00:00,620.0,25.23,24.32,26.96,2.1399994,9.268079,23.0,76.0,0.5039112109375,True,REGULAR,USD,c,2025-08-26
23,SPY250826C00621000,2025-08-26 19:34:33+00:00,621.0,23.73,23.32,25.96,0.39999962,1.714529,75.0,29.0,0.702151416015625,True,REGULAR,USD,c,2025-08-26
24,SPY250826C00622000,2025-08-26 19:38:19+00:00,622.0,22.48,22.32,24.96,0.35000038,1.5815653,14.0,20.0,0.6821320849609377,True,REGULAR,USD,c,2025-08-26
25,SPY250826C00623000,2025-08-26 20:06:36+00:00,623.0,22.4,21.32,23.98,0.39999962,1.8181801,55.0,28.0,0.6645541357421877,True,REGULAR,USD,c,2025-08-26
26,SPY250826C00624000,2025-08-26 17:33:56+00:00,624.0,19.18,20.32,22.98,-0.6399994,-3.2290585,6.0,32.0,0.6442906665039063,True,REGULAR,USD,c,2025-08-26
27,SPY250826C00625000,2025-08-26 18:54:40+00:00,625.0,18.73,19.32,21.98,-0.27000046,-1.4210551,26.0,79.0,0.6237830590820312,True,REGULAR,USD,c,2025-08-26
28,SPY250826C00626000,2025-08-26 19:45:06+00:00,626.0,18.05,18.32,20.98,-1.2300014,-6.3796754,41.0,68.0,0.6031533825683595,True,REGULAR,USD,c,2025-08-26
29,SPY250826C00627000,2025-08-26 19:49:04+00:00,627.0,17.2,17.32,19.98,-0.5999985,-3.370778,9.0,58.0,0.5824016369628906,True,REGULAR,USD,c,2025-08-26
30,SPY250826C00628000,2025-08-26 20:06:52+00:00,628.0,17.44,16.32,18.98,1.8700008,12.0102825,44.0,65.0,0.561527822265625,True,REGULAR,USD,c,2025-08-26
31,SPY250826C00629000,2025-08-26 20:07:00+00:00,629.0,16.49,15.32,17.98,1.3299999,8.7730875,19.0,55.0,0.540287800292969,True,REGULAR,USD,c,2025-08-26
32,SPY250826C00630000,2025-08-26 19:44:36+00:00,630.0,14.02,14.32,16.99,0.9300003,7.1046624,122.0,120.0,0.5201464001464844,True,REGULAR,USD,c,2025-08-26
33,SPY250826C00631000,2025-08-26 19:50:05+00:00,631.0,13.35,13.32,15.99,1.2700005,10.513248,132.0,71.0,0.4985401708984375,True,REGULAR,USD,c,2025-08-26
34,SPY250826C00632000,2025-08-26 19:31:28+00:00,632.0,13.06,12.32,14.99,1.2800007,10.86588,102.0,149.0,0.47681187255859375,True,REGULAR,USD,c,2025-08-26
35,SPY250826C00633000,2025-08-26 19:38:36+00:00,633.0,12.21,11.32,13.99,2.1599998,21.492535,163.0,219.0,0.4547173669433594,True,REGULAR,USD,c,2025-08-26
36,SPY250826C00634000,2025-08-26 20:02:06+00:00,634.0,11.18,10.32,13.0,2.1800003,24.222225,222.0,553.0,0.43335527587890627,True,REGULAR,USD,c,2025-08-26
37,SPY250826C00635000,2025-08-26 19:39:04+00:00,635.0,9.77,9.33,12.01,1.6200008,19.877314,301.0,857.0,0.4116269775390625,True,REGULAR,USD,c,2025-08-26
38,SPY250826C00636000,2025-08-26 20:02:06+00:00,636.0,9.1,8.33,11.04,2.4500003,36.84211,681.0,1242.0,0.39124143920898435,True,REGULAR,USD,c,2025-08-26
39,SPY250826C00637000,2025-08-26 20:10:05+00:00,637.0,8.57,7.33,10.04,2.3599997,38.003216,2008.0,1549.0,0.3675600354003906,True,REGULAR,USD,c,2025-08-26
40,SPY250826C00638000,2025-08-26 20:01:51+00:00,638.0,7.05,7.58,9.04,1.8100004,34.541996,3984.0,1360.0,0.34339035522460937,True,REGULAR,USD,c,2025-08-26
41,SPY250826C00639000,2025-08-26 20:10:38+00:00,639.0,6.54,6.6,7.86,2.2399998,52.093014,2957.0,1322.0,0.30261927856445314,True,REGULAR,USD,c,2025-08-26
42,SPY250826C00640000,2025-08-26 20:14:17+00:00,640.0,5.61,4.33,7.03,2.2,64.51613,13089.0,2079.0,0.29224340576171864,True,REGULAR,USD,c,2025-08-26
43,SPY250826C00641000,2025-08-26 20:14:57+00:00,641.0,4.67,3.33,6.04,2.1100001,82.42188,33522.0,2454.0,0.26673096557617193,True,REGULAR,USD,c,2025-08-26
44,SPY250826C00642000,2025-08-26 20:14:24+00:00,642.0,3.67,2.33,3.75,1.8600001,102.76244,212713.0,12177.0,0.12867082275390623,True,REGULAR,USD,c,2025-08-26
45,SPY250826C00643000,2025-08-26 20:14:57+00:00,643.0,2.7,2.6,4.04,1.5400001,132.75864,687076.0,15221.0,0.2104571142578125,True,REGULAR,USD,c,2025-08-26
46,SPY250826C00644000,2025-08-26 20:14:55+00:00,644.0,1.69,1.62,1.73,1.0,144.92752,638321.0,13819.0,0.07789008056640626,True,REGULAR,USD,c,2025-08-26
47,SPY250826C00645000,2025-08-26 20:14:59+00:00,645.0,0.69,0.63,0.72,0.32999998,91.666664,336322.0,18513.0,0.04725073852539062,True,REGULAR,USD,c,2025-08-26
48,SPY250826C00646000,2025-08-26 20:14:59+00:00,646.0,0.05,0.04,0.05,-0.14,-73.68421,115925.0,17504.0,0.022226574707031252,False,REGULAR,USD,c,2025-08-26
49,SPY250826C00647000,2025-08-26 20:14:36+00:00,647.0,0.01,0.0,0.01,-0.080000006,-88.88889,54587.0,9413.0,0.028330029296875,False,REGULAR,USD,c,2025-08-26
50,SPY250826C00648000,2025-08-26 20:14:58+00:00,648.0,0.01,0.0,0.01,-0.04,-80.00001,26023.0,18141.0,0.04102521484375,False,REGULAR,USD,c,2025-08-26
51,SPY250826C00649000,2025-08-26 20:14:58+00:00,649.0,0.01,0.0,0.01,-0.02,-66.66667,25881.0,7481.0,0.05274384765625,False,REGULAR,USD,c,2025-08-26
52,SPY250826C00650000,2025-08-26 20:11:04+00:00,650.0,0.01,0.0,0.01,-0.01,-50.0,14841.0,15773.0,0.06446248046875,False,REGULAR,USD,c,2025-08-26
53,SPY250826C00651000,2025-08-26 19:55:18+00:00,651.0,0.01,0.0,0.01,-0.01,-50.0,525.0,5097.0,0.07618111328125002,False,REGULAR,USD,c,2025-08-26
54,SPY250826C00652000,2025-08-26 19:59:21+00:00,652.0,0.01,0.0,0.01,0.0,0.0,1002.0,5624.0,0.08594664062500001,False,REGULAR,USD,c,2025-08-26
55,SPY250826C00653000,2025-08-26 19:55:13+00:00,653.0,0.01,0.0,0.01,0.0,0.0,551.0,4165.0,0.0976652734375,False,REGULAR,USD,c,2025-08-26
56,SPY250826C00654000,2025-08-26 19:22:19+00:00,654.0,0.01,0.0,0.01,0.0,0.0,156.0,2029.0,0.10938390625,False,REGULAR,USD,c,2025-08-26
57,SPY250826C00655000,2025-08-26 19:47:06+00:00,655.0,0.01,0.0,0.01,0.0,0.0,1496.0,3488.0,0.11914943359374999,False,REGULAR,USD,c,2025-08-26
58,SPY250826C00656000,2025-08-26 19:55:02+00:00,656.0,0.01,0.0,0.01,0.0,0.0,452.0,3247.0,0.1289149609375,False,REGULAR,USD,c,2025-08-26
59,SPY250826C00657000,2025-08-26 17:07:14+00:00,657.0,0.01,0.0,0.01,0.0,0.0,9.0,1066.0,0.14063359375,False,REGULAR,USD,c,2025-08-26
60,SPY250826C00658000,2025-08-26 16:25:08+00:00,658.0,0.01,0.0,0.01,0.0,0.0,38.0,1417.0,0.148446015625,False,REGULAR,USD,c,2025-08-26
61,SPY250826C00659000,2025-08-26 13:30:09+00:00,659.0,0.01,0.0,0.01,0.0,0.0,25.0,1296.0,0.1601646484375,False,REGULAR,USD,c,2025-08-26
62,SPY250826C00660000,2025-08-25 20:02:16+00:00,660.0,0.01,0.0,0.01,0.0,0.0,3.0,2240.0,0.17188328125000002,False,REGULAR,USD,c,2025-08-26
63,SPY250826C00661000,2025-08-25 18:15:28+00:00,661.0,0.01,0.0,0.01,0.0,0.0,9.0,1402.0,0.179695703125,False,REGULAR,USD,c,2025-08-26
64,SPY250826C00662000,2025-08-25 14:45:24+00:00,662.0,0.01,0.0,0.01,0.0,0.0,100.0,584.0,0.1914143359375,False,REGULAR,USD,c,2025-08-26
65,SPY250826C00663000,2025-08-26 18:09:05+00:00,663.0,0.01,0.0,0.01,0.0,0.0,13.0,189.0,0.1992267578125,False,REGULAR,USD,c,2025-08-26
66,SPY250826C00664000,2025-08-26 14:29:09+00:00,664.0,0.01,0.0,0.01,0.0,0.0,14.0,57.0,0.21094539062499998,False,REGULAR,USD,c,2025-08-26
67,SPY250826C00665000,2025-08-22 17:01:16+00:00,665.0,0.01,0.0,0.01,0.0,0.0,625.0,665.0,0.21875781249999998,False,REGULAR,USD,c,2025-08-26
68,SPY250826C00666000,2025-08-22 16:56:13+00:00,666.0,0.01,0.0,0.01,0.0,0.0,91.0,287.0,0.2304764453125,False,REGULAR,USD,c,2025-08-26
69,SPY250826C00667000,2025-08-25 13:49:41+00:00,667.0,0.01,0.0,0.01,0.0,0.0,1.0,2263.0,0.23828886718749998,False,REGULAR,USD,c,2025-08-26
70,SPY250826C00668000,2025-08-25 15:45:05+00:00,668.0,0.01,0.0,0.01,0.0,0.0,1.0,106.0,0.2500075,False,REGULAR,USD,c,2025-08-26
71,SPY250826C00669000,2025-08-20 14:53:41+00:00,669.0,0.01,0.0,0.01,0.0,0.0,,1605.0,0.257819921875,False,REGULAR,USD,c,2025-08-26
72,SPY250826C00670000,2025-08-25 13:36:13+00:00,670.0,0.01,0.0,0.01,0.0,0.0,3.0,215.0,0.26563234375,False,REGULAR,USD,c,2025-08-26
73,SPY250826C00671000,2025-08-20 13:35:40+00:00,671.0,0.01,0.0,0.01,0.0,0.0,,2.0,0.27735097656249996,False,REGULAR,USD,c,2025-08-26
74,SPY250826C00673000,2025-08-20 18:08:15+00:00,673.0,0.01,0.0,0.01,0.0,0.0,,1.0,0.29688203124999996,False,REGULAR,USD,c,2025-08-26
75,SPY250826C00674000,2025-08-19 13:32:26+00:00,674.0,0.01,0.0,0.01,0.0,0.0,,328.0,0.304694453125,False,REGULAR,USD,c,2025-08-26
76,SPY250826C00675000,2025-08-26 15:22:39+00:00,675.0,0.01,0.0,0.01,0.0,0.0,8.0,37.0,0.31250687499999996,False,REGULAR,USD,c,2025-08-26
77,SPY250826C00680000,2025-08-25 13:30:01+00:00,680.0,0.01,0.0,0.01,0.0,0.0,1.0,659.0,0.35938140625,False,REGULAR,USD,c,2025-08-26
78,SPY250826C00685000,2025-08-20 17:02:00+00:00,685.0,0.01,0.0,0.01,0.0,0.0,4.0,496.0,0.4062559375,False,REGULAR,USD,c,2025-08-26
79,SPY250826C00690000,2025-08-18 13:34:38+00:00,690.0,0.01,0.0,0.01,0.0,0.0,164.0,168.0,0.45313046875,False,REGULAR,USD,c,2025-08-26
80,SPY250826C00700000,2025-08-12 16:16:52+00:00,700.0,0.01,0.0,0.01,0.0,0.0,,20.0,0.500005,False,REGULAR,USD,c,2025-08-26
81,SPY250826C00705000,2025-08-13 14:35:06+00:00,705.0,0.01,0.0,0.01,0.0,0.0,,20.0,0.5468795312500001,False,REGULAR,USD,c,2025-08-26
82,SPY250826C00735000,2025-08-26 14:41:32+00:00,735.0,0.01,0.0,0.01,0.0,0.0,2.0,21.0,0.7812521875,False,REGULAR,USD,c,2025-08-26
83,SPY250826P00425000,2025-08-15 19:12:23+00:00,425.0,0.01,0.0,0.01,0.0,0.0,,1.0,2.3125042187499996,False,REGULAR,USD,p,2025-08-26
84,SPY250826P00435000,2025-08-19 14:18:44+00:00,435.0,0.01,0.0,0.01,0.0,0.0,,40.0,2.1875045312499997,False,REGULAR,USD,p,2025-08-26
85,SPY250826P00445000,2025-08-18 13:54:21+00:00,445.0,0.01,0.0,0.01,0.0,0.0,,312.0,2.0625048437499998,False,REGULAR,USD,p,2025-08-26
86,SPY250826P00450000,2025-08-18 13:54:21+00:00,450.0,0.02,0.0,0.01,0.0,0.0,,180.0,2.000005,False,REGULAR,USD,p,2025-08-26
87,SPY250826P00455000,2025-08-20 15:29:25+00:00,455.0,0.01,0.0,0.01,0.0,0.0,,567.0,1.9375003125,False,REGULAR,USD,p,2025-08-26
88,SPY250826P00460000,2025-08-20 15:26:34+00:00,460.0,0.01,0.0,0.01,0.0,0.0,,25.0,1.9062504687500001,False,REGULAR,USD,p,2025-08-26
89,SPY250826P00465000,2025-08-14 20:02:34+00:00,465.0,0.02,0.0,0.01,0.0,0.0,,20.0,1.875000625,False,REGULAR,USD,p,2025-08-26
90,SPY250826P00470000,2025-08-18 20:12:30+00:00,470.0,0.01,0.0,0.01,0.0,0.0,50.0,82.0,1.8125009374999999,False,REGULAR,USD,p,2025-08-26
91,SPY250826P00475000,2025-08-15 15:23:06+00:00,475.0,0.02,0.0,0.01,0.0,0.0,,52.0,1.75000125,False,REGULAR,USD,p,2025-08-26
92,SPY250826P00480000,2025-08-19 19:07:12+00:00,480.0,0.01,0.0,0.01,0.0,0.0,30.0,138.0,1.6875015625,False,REGULAR,USD,p,2025-08-26
93,SPY250826P00485000,2025-08-19 15:42:24+00:00,485.0,0.01,0.0,0.01,0.0,0.0,1.0,131.0,1.625001875,False,REGULAR,USD,p,2025-08-26
94,SPY250826P00490000,2025-08-19 16:04:03+00:00,490.0,0.01,0.0,0.01,0.0,0.0,,110.0,1.5625021874999998,False,REGULAR,USD,p,2025-08-26
95,SPY250826P00495000,2025-08-21 17:25:52+00:00,495.0,0.01,0.0,0.01,0.0,0.0,,120.0,1.5000025,False,REGULAR,USD,p,2025-08-26
96,SPY250826P00500000,2025-08-22 18:20:57+00:00,500.0,0.01,0.0,0.01,0.0,0.0,20.0,444.0,1.46875265625,False,REGULAR,USD,p,2025-08-26
97,SPY250826P00505000,2025-08-21 13:56:16+00:00,505.0,0.01,0.0,0.01,0.0,0.0,,443.0,1.40625296875,False,REGULAR,USD,p,2025-08-26
98,SPY250826P00510000,2025-08-22 14:43:05+00:00,510.0,0.01,0.0,0.01,0.0,0.0,1.0,136.0,1.3750031249999999,False,REGULAR,USD,p,2025-08-26
99,SPY250826P00515000,2025-08-21 18:24:12+00:00,515.0,0.01,0.0,0.01,0.0,0.0,640.0,231.0,1.3125034374999998,False,REGULAR,USD,p,2025-08-26
100,SPY250826P00520000,2025-08-21 17:06:43+00:00,520.0,0.01,0.0,0.01,0.0,0.0,,400.0,1.2500037499999999,False,REGULAR,USD,p,2025-08-26
101,SPY250826P00525000,2025-08-21 19:25:45+00:00,525.0,0.01,0.0,0.01,0.0,0.0,2000.0,326.0,1.1875040625,False,REGULAR,USD,p,2025-08-26
102,SPY250826P00530000,2025-08-22 13:59:13+00:00,530.0,0.01,0.0,0.01,0.0,0.0,80.0,581.0,1.15625421875,False,REGULAR,USD,p,2025-08-26
103,SPY250826P00535000,2025-08-22 16:55:00+00:00,535.0,0.01,0.0,0.01,0.0,0.0,100.0,151.0,1.09375453125,False,REGULAR,USD,p,2025-08-26
104,SPY250826P00540000,2025-08-22 19:34:50+00:00,540.0,0.01,0.0,0.01,0.0,0.0,11.0,877.0,1.0312548437500002,False,REGULAR,USD,p,2025-08-26
105,SPY250826P00545000,2025-08-22 17:14:30+00:00,545.0,0.01,0.0,0.01,0.0,0.0,30.0,48.0,0.98437515625,False,REGULAR,USD,p,2025-08-26
106,SPY250826P00550000,2025-08-22 19:30:17+00:00,550.0,0.01,0.0,0.01,0.0,0.0,1.0,59.0,0.937500625,False,REGULAR,USD,p,2025-08-26
107,SPY250826P00555000,2025-08-22 19:49:27+00:00,555.0,0.01,0.0,0.01,0.0,0.0,7.0,114.0,0.9062509375,False,REGULAR,USD,p,2025-08-26
108,SPY250826P00560000,2025-08-22 13:30:01+00:00,560.0,0.03,0.0,0.01,0.0,0.0,10.0,93.0,0.8437515624999999,False,REGULAR,USD,p,2025-08-26
109,SPY250826P00565000,2025-08-26 16:22:59+00:00,565.0,0.01,0.0,0.01,0.0,0.0,6.0,718.0,0.79687703125,False,REGULAR,USD,p,2025-08-26
110,SPY250826P00570000,2025-08-25 13:30:13+00:00,570.0,0.01,0.0,0.01,0.0,0.0,1.0,385.0,0.7500025,False,REGULAR,USD,p,2025-08-26
111,SPY250826P00575000,2025-08-26 19:47:03+00:00,575.0,0.01,0.0,0.01,0.0,0.0,13.0,894.0,0.6875031250000001,False,REGULAR,USD,p,2025-08-26
112,SPY250826P00580000,2025-08-25 17:57:29+00:00,580.0,0.01,0.0,0.01,0.0,0.0,912.0,1827.0,0.6562534375000001,False,REGULAR,USD,p,2025-08-26
113,SPY250826P00585000,2025-08-25 18:17:39+00:00,585.0,0.01,0.0,0.01,0.0,0.0,264.0,981.0,0.5937540625000001,False,REGULAR,USD,p,2025-08-26
114,SPY250826P00590000,2025-08-25 19:51:36+00:00,590.0,0.01,0.0,0.01,0.0,0.0,1026.0,975.0,0.5468795312500001,False,REGULAR,USD,p,2025-08-26
115,SPY250826P00591000,2025-08-25 19:36:57+00:00,591.0,0.01,0.0,0.01,0.0,0.0,961.0,1023.0,0.5468795312500001,False,REGULAR,USD,p,2025-08-26
116,SPY250826P00593000,2025-08-25 13:41:12+00:00,593.0,0.01,0.0,0.01,0.0,0.0,100.0,88.0,0.5312546875,False,REGULAR,USD,p,2025-08-26
117,SPY250826P00595000,2025-08-25 19:45:23+00:00,595.0,0.01,0.0,0.01,0.0,0.0,65.0,400.0,0.500005,False,REGULAR,USD,p,2025-08-26
118,SPY250826P00598000,2025-08-25 19:50:29+00:00,598.0,0.01,0.0,0.01,0.0,0.0,1344.0,1295.0,0.507817421875,False,REGULAR,USD,p,2025-08-26
119,SPY250826P00599000,2025-08-25 13:37:35+00:00,599.0,0.02,0.0,0.01,0.0,0.0,4.0,9.0,0.500005,False,REGULAR,USD,p,2025-08-26
120,SPY250826P00600000,2025-08-26 14:56:34+00:00,600.0,0.01,0.0,0.01,-0.01,-50.0,11.0,757.0,0.48438015625,False,REGULAR,USD,p,2025-08-26
121,SPY250826P00601000,2025-08-25 19:59:24+00:00,601.0,0.01,0.0,0.01,0.0,0.0,26.0,118.0,0.476567734375,False,REGULAR,USD,p,2025-08-26
122,SPY250826P00602000,2025-08-25 20:14:40+00:00,602.0,0.01,0.0,0.01,0.0,0.0,411.0,410.0,0.4687553125,False,REGULAR,USD,p,2025-08-26
123,SPY250826P00603000,2025-08-25 20:14:40+00:00,603.0,0.02,0.0,0.01,0.0,0.0,1089.0,1090.0,0.45313046875,False,REGULAR,USD,p,2025-08-26
124,SPY250826P00604000,2025-08-25 18:30:03+00:00,604.0,0.02,0.0,0.01,0.0,0.0,31.0,35.0,0.445318046875,False,REGULAR,USD,p,2025-08-26
125,SPY250826P00605000,2025-08-25 20:05:41+00:00,605.0,0.01,0.0,0.01,0.0,0.0,1.0,2291.0,0.437505625,False,REGULAR,USD,p,2025-08-26
126,SPY250826P00606000,2025-08-25 15:06:11+00:00,606.0,0.01,0.0,0.01,-0.01,-50.0,10.0,1305.0,0.42188078125,False,REGULAR,USD,p,2025-08-26
127,SPY250826P00607000,2025-08-25 19:45:41+00:00,607.0,0.01,0.0,0.01,0.0,0.0,17.0,22.0,0.414068359375,False,REGULAR,USD,p,2025-08-26
128,SPY250826P00608000,2025-08-25 15:10:03+00:00,608.0,0.03,0.0,0.01,0.0,0.0,166.0,170.0,0.4062559375,False,REGULAR,USD,p,2025-08-26
129,SPY250826P00609000,2025-08-26 18:40:06+00:00,609.0,0.01,0.0,0.01,-0.01,-50.0,10.0,1031.0,0.39063109375,False,REGULAR,USD,p,2025-08-26
130,SPY250826P00610000,2025-08-26 15:22:39+00:00,610.0,0.01,0.0,0.01,0.0,0.0,8.0,1576.0,0.38281867187499996,False,REGULAR,USD,p,2025-08-26
131,SPY250826P00611000,2025-08-26 13:43:00+00:00,611.0,0.01,0.0,0.01,-0.01,-50.0,79.0,1510.0,0.37500625,False,REGULAR,USD,p,2025-08-26
132,SPY250826P00612000,2025-08-26 16:15:00+00:00,612.0,0.01,0.0,0.01,0.0,0.0,6.0,1418.0,0.3632876171875,False,REGULAR,USD,p,2025-08-26
133,SPY250826P00613000,2025-08-26 17:07:14+00:00,613.0,0.01,0.0,0.01,-0.01,-50.0,7.0,238.0,0.35156898437499995,False,REGULAR,USD,p,2025-08-26
134,SPY250826P00614000,2025-08-26 20:07:28+00:00,614.0,0.01,0.0,0.01,-0.01,-50.0,54.0,705.0,0.3437565625,False,REGULAR,USD,p,2025-08-26
135,SPY250826P00615000,2025-08-26 18:41:01+00:00,615.0,0.01,0.0,0.01,-0.01,-50.0,11.0,1374.0,0.335944140625,False,REGULAR,USD,p,2025-08-26
136,SPY250826P00616000,2025-08-26 16:23:42+00:00,616.0,0.01,0.0,0.01,0.0,0.0,2.0,414.0,0.32031929687499994,False,REGULAR,USD,p,2025-08-26
137,SPY250826P00617000,2025-08-26 16:29:48+00:00,617.0,0.01,0.0,0.01,-0.01,-50.0,14.0,518.0,0.31250687499999996,False,REGULAR,USD,p,2025-08-26
138,SPY250826P00618000,2025-08-26 17:54:54+00:00,618.0,0.01,0.0,0.01,-0.01,-50.0,16.0,2917.0,0.304694453125,False,REGULAR,USD,p,2025-08-26
139,SPY250826P00619000,2025-08-25 19:48:07+00:00,619.0,0.01,0.0,0.01,-0.01,-50.0,1.0,2602.0,0.2890696093749999,False,REGULAR,USD,p,2025-08-26
140,SPY250826P00620000,2025-08-26 19:28:49+00:00,620.0,0.01,0.0,0.01,0.0,0.0,7077.0,2304.0,0.28125718749999995,False,REGULAR,USD,p,2025-08-26
141,SPY250826P00621000,2025-08-26 19:00:13+00:00,621.0,0.01,0.0,0.01,-0.01,-50.0,13625.0,3106.0,0.273444765625,False,REGULAR,USD,p,2025-08-26
142,SPY250826P00622000,2025-08-26 17:26:09+00:00,622.0,0.01,0.0,0.01,0.0,0.0,944.0,1223.0,0.2617261328125,False,REGULAR,USD,p,2025-08-26
143,SPY250826P00623000,2025-08-26 19:00:13+00:00,623.0,0.01,0.0,0.01,-0.01,-50.0,3125.0,3650.0,0.2500075,False,REGULAR,USD,p,2025-08-26
144,SPY250826P00624000,2025-08-26 18:20:09+00:00,624.0,0.01,0.0,0.01,-0.01,-50.0,1004.0,8959.0,0.242195078125,False,REGULAR,USD,p,2025-08-26
145,SPY250826P00625000,2025-08-26 18:34:19+00:00,625.0,0.01,0.0,0.01,-0.01,-50.0,1567.0,3233.0,0.2304764453125,False,REGULAR,USD,p,2025-08-26
146,SPY250826P00626000,2025-08-26 20:11:36+00:00,626.0,0.01,0.0,0.01,-0.02,-66.66667,357.0,1203.0,0.21875781249999998,False,REGULAR,USD,p,2025-08-26
147,SPY250826P00627000,2025-08-26 18:05:20+00:00,627.0,0.01,0.0,0.01,-0.02,-66.66667,1332.0,1328.0,0.21094539062499998,False,REGULAR,USD,p,2025-08-26
148,SPY250826P00628000,2025-08-26 18:10:08+00:00,628.0,0.01,0.0,0.01,-0.02,-66.66667,1135.0,2903.0,0.1992267578125,False,REGULAR,USD,p,2025-08-26
149,SPY250826P00629000,2025-08-26 20:10:40+00:00,629.0,0.01,0.0,0.01,-0.02,-66.66667,8261.0,2024.0,0.187508125,False,REGULAR,USD,p,2025-08-26
150,SPY250826P00630000,2025-08-26 19:56:14+00:00,630.0,0.01,0.0,0.01,-0.02,-66.66667,9962.0,7640.0,0.1757894921875,False,REGULAR,USD,p,2025-08-26
151,SPY250826P00631000,2025-08-26 19:53:22+00:00,631.0,0.01,0.0,0.01,-0.03,-75.0,4737.0,1104.0,0.16797707031250003,False,REGULAR,USD,p,2025-08-26
